Ref,Val,Package,PosX,PosY,Rot,Side
"U1","ICE40UP5K-SG48ITR50","QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm",175.650000,-110.600000,-90.000000,top
"U2","74AHC00PW","TSSOP-14_4.4x5mm_P0.65mm",141.000000,-121.940000,180.000000,top
"U3","SN74CBTD3861PWR","TSSOP-24_4.4x7.8mm_P0.65mm",177.500000,-123.850000,-90.000000,top
"U4","74CBTLV3126PW,118","TSSOP-14_4.4x5mm_P0.65mm",123.500000,-118.000000,-90.000000,top
"U5","74LVC4245APW","TSSOP-24_4.4x7.8mm_P0.65mm",168.500000,-123.850000,90.000000,top
"U6","WM8524CGEDT","TSSOP-16_4.4x5mm_P0.65mm",191.250000,-114.500000,180.000000,top
"U7","W25Q16JVSNIQ","SOIC-8_3.9x4.9mm_P1.27mm",141.000000,-115.450000,0.000000,top
"U9","AP3417CKTR-G1","SOT-23-5",158.250000,-117.750000,-90.000000,top
"U10","MIC5504-3.3YM5","SOT-23-5",155.100000,-127.700000,90.000000,top
"U11","THS7314D","SOIC-8_3.9x4.9mm_P1.27mm",148.350000,-100.800000,180.000000,top
"X1","SG5032CAN_25.000000M-TJGA3","Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm",188.500000,-106.980000,180.000000,top
